"No.,Company Name,Skills"
1,SuryaInformaticsSolutionsPvt.Ltd.,"python,webtechnologies,linux,mobile,mysql,angularjs,javascript"
2,"MACKENZIEMODERNITSOLUTIONSPVTLTD
(MoreJobs)","DataScience,Matplotlib,Git,Panda,Aws,Numpy,PythonScripting,BusinessProcess,Testing"
3,"RESEARCHDEVELOPERS
(MoreJobs)","python,research,pythonprogrammer,MachineLearning,PatternRecognition,ImageProcessing,DigitalImage,SignalProcessing,ElectronicCircuits,NetworkAnalysis"
4,"KumarandAssociates
(MoreJobs)","Python,django"
5,IvanInfotechPvt.Ltd.,"rest,python,security,debugging"
6,TandAHRSolutions,"python,git,django"
7,eastindiasecuritiesltd.,"python,hadoop,machinelearning"
8,JobsLoConsultants,"python,linux,windows,sql"
9,TandAHRSolutions,"Python,Django,Flask"
10,arttechnologyandsoftwareindiapvtltd,"rest,python,database,django,api"
11,sjainventures,"python,webdeveloper,webservices"
12,PolarisConsulting&ServicesLtd,"python,django,apache,devops"
13,systango,"python,django,javascript,webprogramming"
14,PolarisConsulting&ServicesLtd,"python,c,composer,visualstudio,pythonscripting,git,cloudstorage"
15,GaffisTechnologies,"python,css,django,html5,javascript"
16,IndecommDigital,"python,os,consultant,unix/linux,softwaredeveloper"
17,day1technologies,"rest,python,django,git,postgresql,sql,docker"
18,pofitechnologiespvtltd.,"python,django,html5,oops,javascript"
19,APPLYCUPHIRINGSOLUTIONSLLP,"python,webtechnologies,webtechnologies"
20,APPLYCUPHIRINGSOLUTIONSLLP,"python,django,html5,javascript"
21,DREAMAJAXTECHNOLOGIES,"python,django,api,sql,nosql"
22,AnanthaCyberTechPvtLimited,"python,c,c,informationtechnology"
23,Intellectyx,"python,mobile,javascript,react.js,django"
24,WHITEFORCE,"algorithms,python,mobile,machinelearning,ds,mongodb"
25,INFINITYGROUP,"python,css,django,html,bootstrap"
